npp_case,target_mean_npp,npp_rate,day,year,npp_daily,leaf,root,sapwood,heartwood,height,storage,total_demand,carbon_allocated,leaf_demand,root_demand,sapwood_demand,delta_leaf,delta_root,delta_sapwood,unmet_storage_deficit,unpaid_carbon_deficit,leaf_turnover,root_turnover,sapwood_turnover,storage_turnover,heartwood_turnover,leaf_root_residual,pipe_model_residual
1,3.5000000000000000,5.0000000000000000,3063,8.3917808219178074,0.13698630136986301E-001,2.0083625838769823,2.0083625838769823,9.3115360302759864,21.612849210001603,13.216060768804569,11.230546105018918,0.72432583587371735E-002,0.72432583587371735E-002,0.18337035743787580E-002,0.18337035743787580E-002,0.35758512099796575E-002,0.18337035743787582E-002,0.18337035743787582E-002,0.35758512099796575E-002,0.0000000000000000,0.0000000000000000,0.13765336421363826E-002,0.13765336421363826E-002,0.12757276380704187E-002,0.15386417461321987E-002,0.39473914559834026E-003,0.0000000000000000,1.5543625927777356
1,3.5000000000000000,5.0000000000000000,3064,8.3945205479452056,0.13698630136986301E-001,2.0088198578999581,2.0088198578999581,9.3138367566087954,21.613730497614132,13.216332735141661,11.235460408780861,0.72450113443834532E-002,0.72450113443834532E-002,0.18341210811661940E-002,0.18341210811661940E-002,0.35767691820510648E-002,0.18341210811661940E-002,0.18341210811661940E-002,0.35767691820510648E-002,0.0000000000000000,0.0000000000000000,0.13768470581905126E-002,0.13768470581905126E-002,0.12760428492408270E-002,0.15393150306591125E-002,0.39475523671235805E-003,0.0000000000000000,1.5547432078092527
1,3.5000000000000000,5.0000000000000000,3065,8.3972602739726021,0.13698630136986301E-001,2.0092772360373670,2.0092772360373670,9.3161380858690066,21.614612084423857,13.216604756189406,11.240372286165835,0.72467647692534554E-002,0.72467647692534554E-002,0.18345386830136603E-002,0.18345386830136603E-002,0.35776874032261343E-002,0.18345386830136603E-002,0.18345386830136603E-002,0.35776874032261343E-002,0.0000000000000000,0.0000000000000000,0.13771605456047752E-002,0.13771605456047752E-002,0.12763581430153454E-002,0.15399879827600817E-002,0.39477133328975585E-003,0.0000000000000000,1.5551239159468224
1,3.5000000000000000,5.0000000000000000,3066,8.4000000000000004,0.13698630136986301E-001,2.0097347183129144,2.0097347183129144,9.3184400182231695,21.615493970507941,13.216876831953739,11.245281737066934,0.72485186334659340E-002,0.72485186334659340E-002,0.18349563799428010E-002,0.18349563799428010E-002,0.35786058735803321E-002,0.18349563799428010E-002,0.18349563799428010E-002,0.35786058735803321E-002,0.0000000000000000,0.0000000000000000,0.13774741043954177E-002,0.13774741043954177E-002,0.12766735194167927E-002,0.15406606024204598E-002,0.39478743533194265E-003,0.0000000000000000,1.5555047172166070
1,3.5000000000000000,5.0000000000000000,3067,8.4027397260273968,0.13698630136986301E-001,2.0101923047503112,2.0101923047503112,9.3207425538378903,21.616376155943570,13.217148962440591,11.250188761377155,0.72502729371396865E-002,0.72502729371396865E-002,0.18353741719752644E-002,0.18353741719752644E-002,0.35795245931891577E-002,0.18353741719752646E-002,0.18353741719752646E-002,0.35795245931891577E-002,0.0000000000000000,0.0000000000000000,0.13777877345786916E-002,0.13777877345786916E-002,0.12769889784679943E-002,0.15413328896255864E-002,0.39480354284032775E-003,0.0000000000000000,1.5558856116447863
1,3.5000000000000000,5.0000000000000000,3068,8.4054794520547951,0.13698630136986301E-001,2.0106499953732730,2.0106499953732730,9.3230456928798269,21.617258640807943,13.217421147655893,11.255093358989386,0.72520276803935309E-002,0.72520276803935309E-002,0.18357920591327043E-002,0.18357920591327043E-002,0.35804435621281218E-002,0.18357920591327045E-002,0.18357920591327045E-002,0.35804435621281218E-002,0.0000000000000000,0.0000000000000000,0.13781014361708521E-002,0.13781014361708521E-002,0.12773045201917835E-002,0.15420048443607873E-002,0.39481965581632093E-003,0.0000000000000000,1.5562665992575013
1,3.5000000000000000,5.0000000000000000,3069,8.4082191780821915,0.13698630136986301E-001,2.0111077902055214,2.0111077902055214,9.3253494355156885,21.618141425178290,13.217693387605578,11.259995529796415,0.72537828633462767E-002,0.72537828633462767E-002,0.18362100414367789E-002,0.18362100414367789E-002,0.35813627804727188E-002,0.18362100414367787E-002,0.18362100414367787E-002,0.35813627804727188E-002,0.0000000000000000,0.0000000000000000,0.13784152091881573E-002,0.13784152091881573E-002,0.12776201446110000E-002,0.15426764666113734E-002,0.39483577426133230E-003,0.0000000000000000,1.5566476800809106
1,3.5000000000000000,5.0000000000000000,3070,8.4109589041095898,0.13698630136986301E-001,2.0115656892707841,2.0115656892707841,9.3276537819122396,21.619024509131865,13.217965682295580,11.264895273690922,0.72555384861167881E-002,0.72555384861167881E-002,0.18366281189091521E-002,0.18366281189091521E-002,0.35822822482984833E-002,0.18366281189091519E-002,0.18366281189091519E-002,0.35822822482984833E-002,0.0000000000000000,0.0000000000000000,0.13787290536468703E-002,0.13787290536468703E-002,0.12779358517484916E-002,0.15433477563626416E-002,0.39485189817677248E-003,0.0000000000000000,1.5570288541411763
1,3.5000000000000000,5.0000000000000000,3071,8.4136986301369863,0.13698630136986301E-001,2.0120236925927926,2.0120236925927926,9.3299587322362925,21.619907892745928,13.218238031731827,11.269792590565483,0.72572945488239490E-002,0.72572945488239490E-002,0.18370462915714922E-002,0.18370462915714922E-002,0.35832019656809647E-002,0.18370462915714922E-002,0.18370462915714922E-002,0.35832019656809647E-002,0.0000000000000000,0.0000000000000000,0.13790429695632572E-002,0.13790429695632572E-002,0.12782516416271125E-002,0.15440187135998744E-002,0.39486802756405237E-003,0.0000000000000000,1.5574101214644394
1,3.5000000000000000,5.0000000000000000,3072,8.4164383561643827,0.13698630136986301E-001,2.0124818001952844,2.0124818001952844,9.3322642866547181,21.620791576097773,13.218510435920255,11.274687480312574,0.72590510515866419E-002,0.72590510515866419E-002,0.18374645594454728E-002,0.18374645594454728E-002,0.35841219326956959E-002,0.18374645594454726E-002,0.18374645594454726E-002,0.35841219326956959E-002,0.0000000000000000,0.0000000000000000,0.13793569569535878E-002,0.13793569569535878E-002,0.12785675142697244E-002,0.15446893383083400E-002,0.39488416242458319E-003,0.0000000000000000,1.5577914820768406
