scenario_id,status,fail_day,failure_reason,trait_case,state_case,background_mode,npp_rate,initial_storage,allometric_adjustment_days,max_allocation_fraction,initial_leaf,initial_root,initial_sapwood,initial_heartwood,initial_height,initial_living_carbon,initial_structural_carbon,initial_total_carbon,final_leaf,final_root,final_sapwood,final_heartwood,final_height,final_storage,final_living_carbon,final_structural_carbon,final_total_carbon,net_living_carbon_change,net_total_carbon_change,cumulative_npp,cumulative_positive_npp,cumulative_structural_allocation,cumulative_unmet_storage_deficit,cumulative_leaf_starvation_loss,cumulative_root_starvation_loss,cumulative_sapwood_starvation_loss,cumulative_sapwood_to_heartwood_starvation,cumulative_starvation_carbon_loss,cumulative_unpaid_carbon_deficit,cumulative_leaf_turnover_loss,cumulative_root_turnover_loss,cumulative_sapwood_turnover_loss,cumulative_storage_turnover_loss,cumulative_heartwood_turnover_loss,cumulative_sapwood_to_heartwood_turnover,cumulative_total_sapwood_to_heartwood,cumulative_turnover_carbon_loss,final_leaf_root_residual,final_pipe_residual,final_storage_fraction_total,final_storage_fraction_living,max_storage_fraction_total,max_storage_fraction_living,structural_fraction_of_positive_npp,max_abs_structural_balance_error,max_abs_storage_balance_error,max_abs_whole_plant_balance_error,min_living_pool,min_living_carbon,max_daily_allocation_observed,max_daily_demand_observed,days_with_allocation,days_with_unmet_storage_deficit,days_with_turnover,days_with_storage_above_10pct_living,days_with_storage_above_50pct_living,days_with_storage_above_100pct_living,outcome_class
16,PASS,0,OK,1,1,1,-0.5,0,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0,0,4.753644830161965,23.77141058141312,13.004303937022904,0,4.753644830161965,28.52505541157508,28.52505541157508,-7.046355169838035,-3.274944588424919,-4.9999999999998375,0,0,4.9999999999998375,0.6109252647007132,0.5257072785895859,1.6666666666667156,1.6666666666667156,1.1366325432902993,3.863367456709848,0.38907473529928543,0.27429272141041217,3.5796885031718584,0,1.4749445884270267,3.5796885031718584,5.246355169838529,2.138312045136716,0,-11.697406897120493,0,0,0,0,0,0,0,7.993172096432133e-15,0,4.753644830161965,0,0.01320318723201328,0,3650,3650,0,0,0,carbon_starvation
17,PASS,0,OK,1,1,1,0,0,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0.08201471836840013,0.06561177469471983,6.065098865732922,22.506242104109745,13.008521430503247,0,6.212725358796042,28.718967462905788,28.718967462905788,-5.587274641203959,-3.081032537094213,0,0,0,0,0,0,0,0,0,0,0.917985281631601,0.7343882253052789,3.93490113426708,0,1.4286590301572644,3.93490113426708,3.93490113426708,3.0810325370941425,0.016402943673680295,-13.935517730726158,0,0,0,0,0,0,0,8.177703306189167e-15,0.06561177469471983,6.212725358796042,0,0.012106370029716422,0,0,3650,0,0,0,living_biomass_decline
18,PASS,0,OK,1,1,1,0.5,0,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,0.8338054428078637,0.8303646825423736,6.730465780444032,22.67670340708585,13.083756591676044,0,8.394635905794269,31.07133931288012,31.07133931288012,-3.4053640942057317,-0.7286606871198806,4.9999999999998375,4.9999999999998375,4.9999999999998375,0,0,0,0,0,0,0,2.2120754233509827,2.0840210149643297,4.109267655890391,0,1.432564248804632,4.109267655890391,4.109267655890391,5.72866068711994,0.0034407602654901166,-6.455578325707464,0,0,0,0,1,4.336808689942018e-19,0,7.572935334376753e-15,0.8,8.394635905794269,0.00136986301369863,0.011726246925819047,3650,0,3650,0,0,0,living_biomass_decline
19,PASS,0,OK,1,1,1,3.5,0,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,3.7111518535286296,3.7111508444851,19.113939860093744,25.26868287892562,14.20641196755999,0,26.536242558107475,51.80492543703309,51.80492543703309,14.736242558107474,20.00492543703309,34.99999999999976,34.99999999999976,35.00000000000044,0,0,0,0,0,0,0,6.7769368878292955,6.735878533210781,6.75094202085215,0,1.4822591419265656,6.75094202085215,6.75094202085215,14.995074562966613,1.0090435296206124e-6,1.4795959591920251,0,0,0.07407968741086232,0.18208389809814687,1.0000000000000195,1.734723475976807e-18,0,1.7041923427996153e-14,0.8,11.8,0.014011409013371268,0.014014896955119812,3650,0,3650,1892,0,0,plausible_or_positive_growth
20,PASS,0,OK,1,1,1,8,0,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,31.8,4.098974280241014,4.098973545698651,20.47379217898545,25.33117504505945,14.296322195610342,42.613459685534515,28.671740004925113,54.002915049984566,96.61637473551909,16.871740004925112,64.81637473551909,79.99999999999739,79.99999999999739,37.38654031446787,0,0,0,0,0,0,0,6.870228868812051,6.830316734696608,6.814254706034247,0,1.4830796609748174,6.814254706034247,6.814254706034247,15.183625264483462,7.345423629345761e-7,3.3604260870228018,0.4410583589188275,1.4862530030690342,0.44181673986674486,1.5500182480494684,0.4673317539308636,1.734723475976807e-18,0,2.5233287681558636e-14,0.8,11.8,0.01560969504505386,0.01560969504505386,3650,0,3650,3539,3135,2599,excessive_storage
21,PASS,0,OK,1,1,1,-0.5,0.5,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0,0,4.808546814422311,23.78845711379227,13.01085745853254,0,4.808546814422311,28.59700392821458,28.59700392821458,-6.99145318557769,-3.702996071785418,-4.9999999999998375,0,0.445205479452055,4.945205479451908,0.6672412745191153,0.5997372333564103,1.6484018264840663,1.6484018264840663,1.2669785078755256,3.678226971576674,0.5092394455544867,0.3969699081771598,3.61506897693904,0,1.475013689632495,3.61506897693904,5.263470803423052,2.3812230433641477,0,-11.82654552568351,0,0,0.015479876160990714,0.0423728813559322,0,1.734723475976807e-18,0,1.1764894614074706e-14,0,4.808546814422311,0.011726246925819047,0.012864360576062786,40,3610,3650,0,0,0,carbon_starvation
22,PASS,0,OK,1,1,1,0,0.5,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0.09849766878428523,0.08397799136406454,6.114539298259406,22.536959681602916,13.015812435726057,0,6.297014958407756,28.833974640010673,28.833974640010673,-5.502985041592245,-3.466025359989324,0,0,0.5,0,0,0,0,0,0,0,1.0995499045850388,0.9367006599217971,3.9667344770853945,0,1.4297747954824198,3.9667344770853945,3.9667344770853945,3.4660253599892568,0.014519677420220686,-13.850916510016082,0,0,0.015479876160990714,0.0423728813559322,0,1.734723475976807e-18,0,9.614488025166958e-15,0.08397799136406454,6.297014958407756,0.011726246925819047,0.011726246925819047,45,0,3650,0,0,0,living_biomass_decline
23,PASS,0,OK,1,1,1,0.5,0.5,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,0.8476406136906277,0.8447042667078213,6.801875567532199,22.716000918250593,13.093592907893886,0,8.494220447930648,31.21022136618124,31.21022136618124,-3.305779552069353,-1.0897786338187565,4.9999999999998375,4.9999999999998375,5.499999999999693,0,0,0,0,0,0,0,2.383829489191416,2.272033489405428,4.149916573472507,0,1.4339156552217422,4.149916573472507,4.149916573472507,6.0897786338185735,0.002936346982806426,-6.451711552430517,0,0,0.015479876160990714,0.0423728813559322,1.0999999999999743,1.734723475976807e-18,0,1.0996628954651476e-14,0.8,8.494220447930648,0.011726246925819047,0.011726246925819047,3650,0,3650,0,0,0,living_biomass_decline
24,PASS,0,OK,1,1,1,3.5,0.5,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,3.7604360086843713,3.760435056582813,19.375009008904936,25.306417569445784,14.225489456107525,0,26.89588007417212,52.202297643617904,52.202297643617904,15.095880074172118,19.902297643617903,34.99999999999976,34.99999999999976,35.500000000000625,0,0,0,0,0,0,0,6.827292907776129,6.787380731593544,6.789446286458064,0,1.4830287170123213,6.789446286458064,6.789446286458064,15.097702356381982,9.521015580382653e-7,1.5414742167979585,0,0,0.08214062606691029,0.20398850009382463,1.014285714285739,1.734723475976807e-18,0,1.602190602412179e-14,0.8,11.8,0.014294807415651927,0.014299398886391371,3650,0,3650,2112,0,0,plausible_or_positive_growth
25,PASS,0,OK,1,1,1,8,0.5,365,0.001,1,0.8,10,20,13.136094558459112,11.8,31.8,32.3,4.098974280241014,4.098973545698651,20.47379217898545,25.33117504505945,14.296322195610342,43.11345968553458,28.671740004925113,54.002915049984566,97.11637473551916,16.871740004925112,64.81637473551915,79.99999999999739,79.99999999999739,37.38654031446787,0,0,0,0,0,0,0,6.870228868812051,6.830316734696608,6.814254706034247,0,1.4830796609748174,6.814254706034247,6.814254706034247,15.183625264483462,7.345423629345761e-7,3.3604260870228018,0.4439360489201452,1.503691777273675,0.44479947186136626,1.57127544802683,0.4673317539308636,1.734723475976807e-18,0,2.881028748902281e-14,0.8,11.8,0.01560969504505386,0.01560969504505386,3650,0,3650,3583,3169,2642,excessive_storage
